"time","caRNA","sti","geno","gene"
3.25,0.550002392349606,"lps","mt","Rel"
3.33333333333333,0.545575980771472,"lps","mt","Rel"
3.41666666666667,0.541152586154156,"lps","mt","Rel"
3.5,0.536732721941419,"lps","mt","Rel"
3.58333333333333,0.53231690308474,"lps","mt","Rel"
3.66666666666667,0.52790565038275,"lps","mt","Rel"
3.75,0.523499485061802,"lps","mt","Rel"
3.83333333333333,0.519098935892696,"lps","mt","Rel"
3.91666666666667,0.514704528155937,"lps","mt","Rel"
4,0.510314960238755,"lps","mt","Rel"
4.08333333333333,0.498514605208478,"lps","mt","Rel"
4.16666666666667,0.486537326959221,"lps","mt","Rel"
4.25,0.474637187761785,"lps","mt","Rel"
4.33333333333333,0.46282566596795,"lps","mt","Rel"
4.41666666666667,0.451114286788934,"lps","mt","Rel"
4.5,0.439514583612954,"lps","mt","Rel"
4.58333333333333,0.428038057917736,"lps","mt","Rel"
4.66666666666667,0.416696138004498,"lps","mt","Rel"
4.75,0.405500136800559,"lps","mt","Rel"
4.83333333333333,0.394461208996206,"lps","mt","Rel"
4.91666666666667,0.383590307797513,"lps","mt","Rel"
5,0.37289814159002,"lps","mt","Rel"
5.08333333333333,0.362395130818248,"lps","mt","Rel"
5.16666666666667,0.352091365392669,"lps","mt","Rel"
5.25,0.341996562938689,"lps","mt","Rel"
5.33333333333333,0.332120028201355,"lps","mt","Rel"
5.41666666666667,0.322470613914682,"lps","mt","Rel"
5.5,0.313056683435701,"lps","mt","Rel"
5.58333333333333,0.303886075430632,"lps","mt","Rel"
5.66666666666667,0.294966070884083,"lps","mt","Rel"
5.75,0.28630336268201,"lps","mt","Rel"
5.83333333333333,0.277904027995734,"lps","mt","Rel"
5.91666666666667,0.269773503667778,"lps","mt","Rel"
6,0.261919792362575,"lps","mt","Rel"
6.08333333333333,0.25740780230485,"lps","mt","Rel"
6.16666666666667,0.253094555193444,"lps","mt","Rel"
6.25,0.248875121269097,"lps","mt","Rel"
6.33333333333333,0.244750024744696,"lps","mt","Rel"
6.41666666666667,0.240719710799512,"lps","mt","Rel"
6.5,0.236784545202543,"lps","mt","Rel"
6.58333333333333,0.232944814073966,"lps","mt","Rel"
6.66666666666667,0.229200723775021,"lps","mt","Rel"
6.75,0.225552400926657,"lps","mt","Rel"
6.83333333333333,0.221999892555392,"lps","mt","Rel"
6.91666666666667,0.218543166364403,"lps","mt","Rel"
7,0.215182111127502,"lps","mt","Rel"
7.08333333333333,0.211916537203283,"lps","mt","Rel"
7.16666666666667,0.208746177166349,"lps","mt","Rel"
7.25,0.20567068655224,"lps","mt","Rel"
7.33333333333333,0.202689644712317,"lps","mt","Rel"
7.41666666666667,0.199802555777172,"lps","mt","Rel"
7.5,0.197008849709107,"lps","mt","Rel"
7.58333333333333,0.19430788347629,"lps","mt","Rel"
7.66666666666667,0.191698942295312,"lps","mt","Rel"
7.75,0.189181240972767,"lps","mt","Rel"
7.83333333333333,0.18675392532677,"lps","mt","Rel"
7.91666666666667,0.184416073685364,"lps","mt","Rel"
8,0.182210825591452,"lps","mt","Rel"
0,0.147203111053823,"tnf","mt","Rel"
0.0833333333333333,0.15771115830084,"tnf","mt","Rel"
0.166666666666667,0.213928852107002,"tnf","mt","Rel"
0.25,0.336800293343611,"tnf","mt","Rel"
0.333333333333333,0.511924956687675,"tnf","mt","Rel"
0.416666666666667,0.700761879948779,"tnf","mt","Rel"
0.5,0.869902298771564,"tnf","mt","Rel"
0.583333333333333,0.842142544356541,"tnf","mt","Rel"
0.666666666666667,0.806902619227572,"tnf","mt","Rel"
0.75,0.770171738135617,"tnf","mt","Rel"
0.833333333333333,0.732083065691368,"tnf","mt","Rel"
0.916666666666667,0.692815480075152,"tnf","mt","Rel"
1,0.652591691766099,"tnf","mt","Rel"
1.08333333333333,0.605902561779993,"tnf","mt","Rel"
1.16666666666667,0.558633845996568,"tnf","mt","Rel"
1.25,0.511544508935183,"tnf","mt","Rel"
1.33333333333333,0.465262031243093,"tnf","mt","Rel"
1.41666666666667,0.420447573067305,"tnf","mt","Rel"
1.5,0.377769112680235,"tnf","mt","Rel"
1.58333333333333,0.369158765002189,"tnf","mt","Rel"
1.66666666666667,0.361708994837877,"tnf","mt","Rel"
1.75,0.354360588200268,"tnf","mt","Rel"
1.83333333333333,0.347117065487469,"tnf","mt","Rel"
1.91666666666667,0.339981843209179,"tnf","mt","Rel"
2,0.332957779682312,"tnf","mt","Rel"
2.08333333333333,0.315821251687954,"tnf","mt","Rel"
2.16666666666667,0.299144846601096,"tnf","mt","Rel"
2.25,0.283314093291522,"tnf","mt","Rel"
2.33333333333333,0.268366073208155,"tnf","mt","Rel"
2.41666666666667,0.254330701506686,"tnf","mt","Rel"
2.5,0.241230345913156,"tnf","mt","Rel"
2.58333333333333,0.229079571514959,"tnf","mt","Rel"
2.66666666666667,0.217885015070741,"tnf","mt","Rel"
2.75,0.207645388039605,"tnf","mt","Rel"
2.83333333333333,0.198351603621582,"tnf","mt","Rel"
2.91666666666667,0.189987019082159,"tnf","mt","Rel"
3,0.182527781842101,"tnf","mt","Rel"
3.08333333333333,0.175943264509636,"tnf","mt","Rel"
3.16666666666667,0.170196572745093,"tnf","mt","Rel"
3.25,0.165245108326431,"tnf","mt","Rel"
3.33333333333333,0.161041169451586,"tnf","mt","Rel"
3.41666666666667,0.157532570534832,"tnf","mt","Rel"
3.5,0.154663264578788,"tnf","mt","Rel"
3.58333333333333,0.152373952507154,"tnf","mt","Rel"
3.66666666666667,0.150602665502719,"tnf","mt","Rel"
3.75,0.149285308284186,"tnf","mt","Rel"
3.83333333333333,0.148356153251834,"tnf","mt","Rel"
3.91666666666667,0.147748277424931,"tnf","mt","Rel"
4,0.14739401728278,"tnf","mt","Rel"
4.08333333333333,0.147377455127333,"tnf","mt","Rel"
4.16666666666667,0.147368778367561,"tnf","mt","Rel"
4.25,0.147360345220813,"tnf","mt","Rel"
4.33333333333333,0.147352152187825,"tnf","mt","Rel"
4.41666666666667,0.147344195839617,"tnf","mt","Rel"
4.5,0.147336472709261,"tnf","mt","Rel"
4.58333333333333,0.147328979323581,"tnf","mt","Rel"
4.66666666666667,0.147321712244636,"tnf","mt","Rel"
4.75,0.147314668061421,"tnf","mt","Rel"
4.83333333333333,0.147307843191395,"tnf","mt","Rel"
4.91666666666667,0.147301234220847,"tnf","mt","Rel"
5,0.147294837681879,"tnf","mt","Rel"
5.08333333333333,0.147288650103202,"tnf","mt","Rel"
5.16666666666667,0.147282668004715,"tnf","mt","Rel"
5.25,0.147276888005079,"tnf","mt","Rel"
5.33333333333333,0.147271306574084,"tnf","mt","Rel"
5.41666666666667,0.147265920214533,"tnf","mt","Rel"
5.5,0.147260725486419,"tnf","mt","Rel"
5.58333333333333,0.147255718918912,"tnf","mt","Rel"
5.66666666666667,0.147250897036289,"tnf","mt","Rel"
5.75,0.14724625639112,"tnf","mt","Rel"
5.83333333333333,0.147241793557105,"tnf","mt","Rel"
5.91666666666667,0.147237504971556,"tnf","mt","Rel"
6,0.147233389392335,"tnf","mt","Rel"
6.08333333333333,0.147233887780963,"tnf","mt","Rel"
6.16666666666667,0.147234539266594,"tnf","mt","Rel"
6.25,0.1472351950712,"tnf","mt","Rel"
6.33333333333333,0.147235855207653,"tnf","mt","Rel"
6.41666666666667,0.147236519689542,"tnf","mt","Rel"
6.5,0.147237188534693,"tnf","mt","Rel"
6.58333333333333,0.147237861753614,"tnf","mt","Rel"
6.66666666666667,0.147238539361454,"tnf","mt","Rel"
6.75,0.147239221374062,"tnf","mt","Rel"
6.83333333333333,0.147239907803624,"tnf","mt","Rel"
6.91666666666667,0.147240598665855,"tnf","mt","Rel"
7,0.147241293974143,"tnf","mt","Rel"
7.08333333333333,0.147241993742325,"tnf","mt","Rel"
7.16666666666667,0.14724269798689,"tnf","mt","Rel"
7.25,0.147243406719745,"tnf","mt","Rel"
7.33333333333333,0.147244119955051,"tnf","mt","Rel"
7.41666666666667,0.147244837710017,"tnf","mt","Rel"
7.5,0.147245559995641,"tnf","mt","Rel"
7.58333333333333,0.147246286827749,"tnf","mt","Rel"
7.66666666666667,0.147247018220038,"tnf","mt","Rel"
7.75,0.147247754186512,"tnf","mt","Rel"
7.83333333333333,0.147248494742817,"tnf","mt","Rel"
7.91666666666667,0.147249239901738,"tnf","mt","Rel"
8,0.147249974636176,"tnf","mt","Rel"
0,0.125898791233008,"lps","wt","Pim1"
0.0833333333333333,0.125899365097624,"lps","wt","Pim1"
0.166666666666667,0.125929002931641,"lps","wt","Pim1"
0.25,0.12625644712789,"lps","wt","Pim1"
0.333333333333333,0.128042021904006,"lps","wt","Pim1"
0.416666666666667,0.134553151507982,"lps","wt","Pim1"
0.5,0.152710619066938,"lps","wt","Pim1"
0.583333333333333,0.186621186653817,"lps","wt","Pim1"
0.666666666666667,0.237949568465734,"lps","wt","Pim1"
0.75,0.311734729381729,"lps","wt","Pim1"
0.833333333333333,0.409336375293331,"lps","wt","Pim1"
0.916666666666667,0.527122672440113,"lps","wt","Pim1"
1,0.656955359395324,"lps","wt","Pim1"
1.08333333333333,0.763475370061546,"lps","wt","Pim1"
1.16666666666667,0.836354604581116,"lps","wt","Pim1"
1.25,0.891985196879807,"lps","wt","Pim1"
