"","LPS0","LPS30","LPS1","LPS3","TNF0","TNF30","TNF1","TNF3"
"Tnfaip3",1.26923723535393,1.4420851512129,1.28109352759702,1.30698059293209,1.26923723535393,1.33847510222873,1.20144762258836,1.22150487235015
"Tnfrsf11b",2.48465836628226,2.35563789343734,2.2159223242122,2.46392112606413,2.48465836628226,2.34913767971996,2.44903503405397,NA
"Tnfsf11",2.03181493234608,1.65274042624049,1.97176686984774,1.9220071798858,2.03181493234608,1.68131908635332,2.08588400498444,1.95478075210602
"Tnfsf9",1.80473534912016,1.76291631817782,1.55571554350089,1.84195882057228,1.80473534912016,1.65061729311622,1.39512370206543,1.68986956619433
"Tnip1",2.0309494777072,1.94285075579771,2.13412831214873,2.11223890832099,2.0309494777072,1.8387651953206,2.12445134259842,2.08919273251064
"Trib1",1.12331736303333,1.12722943584972,1.17634887226946,1.04879257371062,1.12331736303333,1.05769016716815,1.11152463315464,1.08830210728117
"Trim47",1.78297805188493,1.70250834871169,1.86880993957631,1.7014145167702,1.78297805188493,1.63433576183497,1.83084536587619,1.77824848318557
"U90926",2.58527125862655,NA,NA,2.3942097404422,2.58527125862655,2.27349214398777,2.01814474110276,3.15836249209525
"Vcam1",2.53194366898584,2.19084804972799,2.24874837582535,NA,2.53194366898584,2.29345253832487,NA,2.64014038521069
"Wnt11",NA,2.62745676902719,NA,2.36772655690568,NA,2.13546024311633,2.60434860423636,NA
"Zbtb10",1.81722503025219,1.70082152432284,1.75430254376698,1.86797658858497,1.81722503025219,1.85912573925898,1.72439399323122,1.5195917608741
"Zbtb46",2.11505958647046,2.07317479796156,1.74507430735754,1.88522382093225,2.11505958647046,1.99058726592691,2.1877205563135,1.82181238886188
"Zc3h12a",1.93207537434609,1.81071319415396,1.87855760963908,1.7315610305668,1.93207537434609,2.07443505456197,1.57524520510949,1.53572710496592
"Zc3h12c",2.09878946038392,1.88608256387764,1.8485467149986,1.74714134202526,2.09878946038392,1.88532610912187,1.74574789096704,1.58049888719163
"Zfp36",1.3193348111227,1.50224739974722,1.28656056670251,1.26364788812154,1.3193348111227,0.966093660731684,1.21429763712275,1.12534708575467
"Zswim4",1.88462481635514,1.79511177515713,1.93472808628833,1.72997223796965,1.88462481635514,1.76665894543427,1.92803093735534,1.87345703193052
