"","time","normCnt.frac","sti","geno","gene","type","clust","v1"
"204",0,0.064904074683948,"tnf","wt","Mir155hg","Sim.","1",FALSE
"205",0.5,0.219975156346855,"tnf","wt","Mir155hg","Sim.","1",FALSE
"206",1,0.363459553500622,"tnf","wt","Mir155hg","Sim.","1",FALSE
"207",2,0.377741669277328,"tnf","wt","Mir155hg","Sim.","1",FALSE
"208",3,0.279158690987255,"tnf","wt","Mir155hg","Sim.","1",FALSE
"209",5,0.165400979906643,"tnf","wt","Mir155hg","Sim.","1",FALSE
"210",8,0.0972083809675549,"tnf","wt","Mir155hg","Sim.","1",FALSE
"211",0,0.0669426998590289,"lps","mt","Mir155hg","Sim.","1",FALSE
"212",0.5,0.132492450472793,"lps","mt","Mir155hg","Sim.","1",FALSE
"213",1,0.296315268873536,"lps","mt","Mir155hg","Sim.","1",FALSE
"214",2,0.544902689142892,"lps","mt","Mir155hg","Sim.","1",FALSE
"215",3,0.715067240137241,"lps","mt","Mir155hg","Sim.","1",FALSE
"216",5,0.911146822548804,"lps","mt","Mir155hg","Sim.","1",FALSE
"217",8,1,"lps","mt","Mir155hg","Sim.","1",FALSE
"218",0,0.0669426998590289,"tnf","mt","Mir155hg","Sim.","1",FALSE
"219",0.5,0.223643695144124,"tnf","mt","Mir155hg","Sim.","1",FALSE
"220",1,0.372197025999682,"tnf","mt","Mir155hg","Sim.","1",FALSE
"221",2,0.59628060075383,"tnf","mt","Mir155hg","Sim.","1",FALSE
"222",3,0.738350331742287,"tnf","mt","Mir155hg","Sim.","1",FALSE
"223",5,0.419588586384876,"tnf","mt","Mir155hg","Sim.","1",FALSE
"224",8,0.180315045369931,"tnf","mt","Mir155hg","Sim.","1",FALSE
"225",0,0.195647222834885,"lps","wt","Zc3h12c","Sim.","2",FALSE
"226",0.5,0.195647222834885,"lps","wt","Zc3h12c","Sim.","2",FALSE
"227",1,0.26182029177485,"lps","wt","Zc3h12c","Sim.","2",FALSE
"228",2,0.635437339151808,"lps","wt","Zc3h12c","Sim.","2",FALSE
"229",3,0.90237242858361,"lps","wt","Zc3h12c","Sim.","2",FALSE
"230",5,1,"lps","wt","Zc3h12c","Sim.","2",FALSE
"231",8,0.778058740586311,"lps","wt","Zc3h12c","Sim.","2",FALSE
"232",0,0.195647222834885,"tnf","wt","Zc3h12c","Sim.","2",FALSE
"233",0.5,0.195647222834885,"tnf","wt","Zc3h12c","Sim.","2",FALSE
"234",1,0.353210056880289,"tnf","wt","Zc3h12c","Sim.","2",FALSE
"235",2,0.551226738097387,"tnf","wt","Zc3h12c","Sim.","2",FALSE
"236",3,0.407719482703592,"tnf","wt","Zc3h12c","Sim.","2",FALSE
"237",5,0.265873395816911,"tnf","wt","Zc3h12c","Sim.","2",FALSE
"238",8,0.209041574459763,"tnf","wt","Zc3h12c","Sim.","2",FALSE
"239",0,0.240758238944832,"lps","mt","Zc3h12c","Sim.","2",FALSE
"240",0.5,0.240758238944832,"lps","mt","Zc3h12c","Sim.","2",FALSE
"241",1,0.275099858040507,"lps","mt","Zc3h12c","Sim.","2",FALSE
"242",2,0.730708587717643,"lps","mt","Zc3h12c","Sim.","2",FALSE
"243",3,0.916921407634616,"lps","mt","Zc3h12c","Sim.","2",FALSE
"244",5,1,"lps","mt","Zc3h12c","Sim.","2",FALSE
"245",8,0.755530967195041,"lps","mt","Zc3h12c","Sim.","2",FALSE
"246",0,0.240758238944832,"tnf","mt","Zc3h12c","Sim.","2",FALSE
"247",0.5,0.240758238944832,"tnf","mt","Zc3h12c","Sim.","2",FALSE
