gene,ensembID,b1_0.0_U_0.0,b1_0.0_U_0.5,b1_0.0_U_1.0,b1_0.0_U_3.0,b1_0.0_U_6.0,b2_0.0_U_0.0,b2_0.0_U_0.5,b2_0.0_U_1.0,b2_0.0_U_2.0,b2_0.0_U_4.0,b2_0.0_U_6.0
Mt2,ENSMUSG00000031762,0,-1.00721821833321,-0.761212910916376,-1.44388714499948,-2.50468411939142,0,-0.446328283195262,-0.281845494278656,-0.535131456636549,-0.795790429365237,-1.25146843720211
Gbp2,ENSMUSG00000028270,0,-0.900063093636556,-0.844987857061655,-1.4791156366612,-2.4695952151031,0,-0.2702401491152,-0.275806923453896,-0.556858645394078,-0.864249553801882,-1.29218146956501
Slco3a1,ENSMUSG00000025790,0,-0.879925384294049,-0.513202953980181,-1.80027197864716,-2.46281488368992,0,-0.346197783306021,-0.432609858727826,-0.867183475814311,-1.33450599404993,-1.82057551889256
Fas,ENSMUSG00000024778,0,-0.78554959093082,-0.2275222754181,-1.40809082555984,-3.1028879309345,0,-0.465481460704473,-0.199366512244303,-0.919592109910275,-1.93551260033416,-2.28182834997214
Cxcl3,ENSMUSG00000029379,0,-1.38053690216259,-0.744713252893306,-1.39637853706807,-2,0,-1.84522310764805,-0.086130018869869,-1.84522310764805,-0.441347852335876,-1.84522310764805
Gjb2,ENSMUSG00000046352,0,-1.16750458611358,-0.814108849707138,-1.09197841687032,-2.26733022103503,0,0,-0.286869904137027,-0.865969207321998,-0.787825529491976,-0.243601713981057
Tmem132e,ENSMUSG00000020701,0,-1.80627373794282,-0.909759821005576,-0.954624394330491,-1.66964753035865,0,-0.179781587768574,-0.804324481658256,-1.136776423941,-1.92894692556338,-1.72341383312451
Grem2,ENSMUSG00000050069,0,-0.977326285515163,-0.73880084199153,-1.30723552121938,-2.25558320303409,0,-0.431739998067132,-0.135988229748596,-0.673797725881036,-1.07508155422448,-1.52775907674748
Slco5a1,ENSMUSG00000025938,0,-1.5335161448364,-0.961695472166853,-1.2296201025633,-1.54703872164626,0,-1.62512806232357,-0.904262366329147,-1.47828011506625,-2.13727811140688,-1.5806553151416
Icam1,ENSMUSG00000037405,0,-0.819508146807381,-0.680079942540193,-1.41898015988125,-2.34741078562827,0,-0.259891369800631,-0.442547493389209,-0.611716677605575,-0.974773307337205,-0.975764157668138
Jak2,ENSMUSG00000024789,0,-0.59020581694941,-0.2541419811444,-1.32732197994143,-2.99200074058074,0,-0.374979034761829,-0.441494497426211,-0.957134964455284,-1.94643488934216,-2.82155309571322
Ikbke,ENSMUSG00000042349,0,-0.692657867088,-0.485668679896273,-1.45074409126715,-2.51146373475734,0,-0.58584228590834,-0.524667128072348,-1.00694547621875,-1.61030078635453,-2.13770995881387
Nptx1,ENSMUSG00000025582,0,-1.09627368246195,-0.780934884448992,-1.24363196837341,-1.90589786856225,0,0,0,0,0,-0.360024074903183
Cxcl10,ENSMUSG00000034855,0,-1.15419704136313,0,-1.45201252389975,-2.37323092516647,0,-1.20085700065934,-0.801540501947614,-0.693721385584187,-0.37067351384135,-1.26282206777867
Gsap,ENSMUSG00000039934,0,-0.775675065822649,-0.361009633264913,-1.00353124766596,-2.65385772766163,0,-0.574497901682243,-0.392077042685192,-0.814552963229031,-1.41152844539694,-1.58650227847282
Osmr,ENSMUSG00000022146,0,-0.744952225941235,-0.560716766379866,-1.13965944754676,-2.32690780330148,0,-0.511120935711315,-0.512977214874043,-0.84800645313209,-1.35232075700375,-1.74045544219396
Il34,ENSMUSG00000031750,0,-0.920745664646483,-0.620253203810591,-1.32287796546325,-1.90427158973816,0,-0.610425024510867,-0.635475040739159,-1.65065123000165,-3.81364437895278,-1.84129419194312
F2rl1,ENSMUSG00000021678,0,-1.2124592124899,-0.567868035689513,-1.28818068375157,-1.67484955914467,0,-0.448311055436334,-0.34403424905297,-0.308169566124596,-0.605062018669891,-1.00346138239365
